PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Agonist Activity,Agonist Potency (uM),Agonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source,OPENADMET_CANONICAL_SMILES,INCHIKEY
1,170465705.0,10219.0,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Active,100.0,,,active agonist,active agonist,0.03349146,211.4194337,active antagonist,0.037578,-58.1492,Enzo,CC[C@H]1CN2CCC3=CC(OC)=C(OC)C=C3[C@@H]2C[C@@H]1C[C@H]1NCCC2=CC(OC)=C(OC)C=C21,AUVVAXYIELKVAI-CKBKHPSWSA-N
2,170465704.0,6708701.0,C[C@]12C3CCC([C@]1(C(=O)OC2=O)C)O3,Active,99.0,,,active agonist,active agonist,1.01921876,362.3484966,active antagonist,0.237101,-73.1631,Enzo,C[C@@]12C(=O)OC(=O)[C@]1(C)C1CCC2O1,DHZBEENLJMYSHQ-OBDNUKKESA-N
3,144214002.0,7594.0,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,Active,93.0,,,active agonist,active agonist,4.86743404,489.9294473,active antagonist,5.6492,-54.6079,SIGMA,N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,OWRCNXZUPFZXOS-UHFFFAOYSA-N
4,144206912.0,156414.0,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Active,91.0,,,active agonist,active agonist,11.00527102,655.906322,active antagonist,2.87255,-44.3797,Selleck,C=CC(=O)NC1=CC2=C(NC3=CC=C(F)C(Cl)=C3)N=CN=C2C=C1OCCCN1CCOCC1,OMZCMEYTWSXEPZ-UHFFFAOYSA-N
5,144213201.0,5280443.0,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Active,90.0,,,active agonist,active agonist,22.53850342,949.4401877,active antagonist,27.5955,-72.5478,LightBiologicals,O=C1C=C(C2=CC=C(O)C=C2)OC2=CC(O)=CC(O)=C12,KZNIFHPLKGYRTM-UHFFFAOYSA-N
6,144207595.0,3068143.0,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl.Cl,Active,89.0,,,active agonist,active agonist,0.045107459,178.2182764,active antagonist,0.0687989,-69.0138,Sensient,CC[C@H]1CN2CCC3=CC(OC)=C(OC)C=C3[C@@H]2C[C@@H]1C[C@H]1NCCC2=CC(OC)=C(OC)C=C21,AUVVAXYIELKVAI-CKBKHPSWSA-N
7,144209885.0,11254899.0,CCCC[N+]1=CC=C(C=C1)C.F[P-](F)(F)(F)(F)F,Active,89.0,,,active agonist,active agonist,5.050874109,457.8846544,active antagonist,6.11927,-54.5569,Io-li-tec,CCCC[N+]1=CC=C(C)C=C1,NNLHWTTWXYBJBQ-UHFFFAOYSA-N
8,170466414.0,9910986.0,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl,Active,88.0,,,active agonist,active agonist,0.090837968,192.4704362,active antagonist,0.074978,-58.6109,Sequoia,CN1CC[C@H](C2=C(O)C=C(O)C3=C2OC(C2=CC=CC=C2Cl)=CC3=O)[C@H](O)C1,BIIVYFLTOXDAOV-YVEFUNNKSA-N
9,144208740.0,5280443.0,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Active,87.0,,,active agonist,active agonist,21.14958578,852.8627029,active antagonist,35.0466,-81.2788,SigmaAldrich,O=C1C=C(C2=CC=C(O)C=C2)OC2=CC(O)=CC(O)=C12,KZNIFHPLKGYRTM-UHFFFAOYSA-N
10,170465656.0,7594.0,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,Active,82.0,,,active agonist,active agonist,8.7417975,488.5941048,active antagonist,9.43918,-47.3489,Vitas,N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,OWRCNXZUPFZXOS-UHFFFAOYSA-N
